Name_File,Name_Evr,Name_Ens,Time,PSNR
area.png,DE,MetaheuristicEnsembleLearn,27.772499799728394,30.714888734205758
boat.png,DE,MetaheuristicEnsembleLearn,27.048619985580444,53.00610159421825
stream_and_bridge.png,DE,MetaheuristicEnsembleLearn,27.013495922088623,42.65390761042575
airplane.png,DE,MetaheuristicEnsembleLearn,26.7783260345459,54.64620345309493
goldhill.png,DE,MetaheuristicEnsembleLearn,27.631187915802002,44.12333051687148
yacht.png,DE,MetaheuristicEnsembleLearn,27.92394185066223,45.70575624191957
peppers.png,DE,MetaheuristicEnsembleLearn,26.993706941604614,51.71107529114292
btr.png,DE,MetaheuristicEnsembleLearn,26.760483026504517,46.48691467637154
baboon.png,DE,MetaheuristicEnsembleLearn,26.775084018707275,41.66448540887564
area.png,PSO,MetaheuristicEnsembleLearn,35.0731897354126,29.82539604591039
boat.png,PSO,MetaheuristicEnsembleLearn,34.867289781570435,51.237187073183094
stream_and_bridge.png,PSO,MetaheuristicEnsembleLearn,36.60300326347351,40.75337422908036
airplane.png,PSO,MetaheuristicEnsembleLearn,34.23118209838867,48.15385972482608
goldhill.png,PSO,MetaheuristicEnsembleLearn,34.253477811813354,40.196901341413316
yacht.png,PSO,MetaheuristicEnsembleLearn,34.35653114318848,48.17680448203013
peppers.png,PSO,MetaheuristicEnsembleLearn,35.97733402252197,49.30690186375279
btr.png,PSO,MetaheuristicEnsembleLearn,35.490159034729004,45.410343990603536
baboon.png,PSO,MetaheuristicEnsembleLearn,35.194451332092285,39.93679125949786
area.png,HHO,MetaheuristicEnsembleLearn,28.299293041229248,30.526318024287292
boat.png,HHO,MetaheuristicEnsembleLearn,27.32694673538208,57.209814536926224
stream_and_bridge.png,HHO,MetaheuristicEnsembleLearn,26.309661149978638,44.73222433113469
airplane.png,HHO,MetaheuristicEnsembleLearn,29.366031169891357,50.412297487373
goldhill.png,HHO,MetaheuristicEnsembleLearn,26.31082820892334,39.203777071401596
yacht.png,HHO,MetaheuristicEnsembleLearn,27.224344730377197,51.38279159750695
peppers.png,HHO,MetaheuristicEnsembleLearn,31.325921773910522,52.39009334112845
btr.png,HHO,MetaheuristicEnsembleLearn,28.373860836029053,45.395360302294236
baboon.png,HHO,MetaheuristicEnsembleLearn,27.312390089035034,43.3348662693238
area.png,FBIO,MetaheuristicEnsembleLearn,114.6367290019989,30.760028651109415
boat.png,FBIO,MetaheuristicEnsembleLearn,118.28654718399048,54.25854443156002
stream_and_bridge.png,FBIO,MetaheuristicEnsembleLearn,119.44453501701355,43.127033802328825
airplane.png,FBIO,MetaheuristicEnsembleLearn,125.431715965271,50.28263700404719
goldhill.png,FBIO,MetaheuristicEnsembleLearn,125.60863494873047,38.35898398772679
yacht.png,FBIO,MetaheuristicEnsembleLearn,123.1595950126648,43.105229748781746
peppers.png,FBIO,MetaheuristicEnsembleLearn,118.14688515663147,50.597359326069196
btr.png,FBIO,MetaheuristicEnsembleLearn,125.50562977790833,44.434165471181544
baboon.png,FBIO,MetaheuristicEnsembleLearn,120.81294417381287,40.06924099078329
area.png,GBO,MetaheuristicEnsembleLearn,50.055031061172485,29.956346282236808
boat.png,GBO,MetaheuristicEnsembleLearn,54.43997287750244,49.99033262184622
stream_and_bridge.png,GBO,MetaheuristicEnsembleLearn,52.52816677093506,41.27326461901828
airplane.png,GBO,MetaheuristicEnsembleLearn,54.40023708343506,47.40265593791498
goldhill.png,GBO,MetaheuristicEnsembleLearn,52.46113109588623,46.02958599315393
yacht.png,GBO,MetaheuristicEnsembleLearn,47.22622275352478,47.35647412373879
peppers.png,GBO,MetaheuristicEnsembleLearn,48.80964994430542,50.58696419191027
btr.png,GBO,MetaheuristicEnsembleLearn,54.36725687980652,46.164164282340714
baboon.png,GBO,MetaheuristicEnsembleLearn,49.620280742645264,38.525057515621846
area.png,IWO,MetaheuristicEnsembleLearn,110.39589405059814,30.696914445400594
boat.png,IWO,MetaheuristicEnsembleLearn,118.36578512191772,54.38214090465596
stream_and_bridge.png,IWO,MetaheuristicEnsembleLearn,111.95443606376648,42.20282906871183
airplane.png,IWO,MetaheuristicEnsembleLearn,118.99546599388123,50.697972586148154
goldhill.png,IWO,MetaheuristicEnsembleLearn,114.76523089408875,41.61117692637997
yacht.png,IWO,MetaheuristicEnsembleLearn,113.18700003623962,49.9016096869281
peppers.png,IWO,MetaheuristicEnsembleLearn,113.24534392356873,52.54885250314476
btr.png,IWO,MetaheuristicEnsembleLearn,111.86555600166321,48.676493593272035
baboon.png,IWO,MetaheuristicEnsembleLearn,118.67115592956543,41.31749808828917
area.png,ABC,MetaheuristicEnsembleLearn,82.0575659275055,30.135242044207434
boat.png,ABC,MetaheuristicEnsembleLearn,87.43249106407166,50.098670885007024
stream_and_bridge.png,ABC,MetaheuristicEnsembleLearn,80.29082798957825,40.51733134424592
airplane.png,ABC,MetaheuristicEnsembleLearn,83.8352382183075,50.24629891595178
goldhill.png,ABC,MetaheuristicEnsembleLearn,80.40047788619995,46.3805843774998
yacht.png,ABC,MetaheuristicEnsembleLearn,85.59140205383301,42.36306760709653
peppers.png,ABC,MetaheuristicEnsembleLearn,80.83758091926575,48.1052497561635
btr.png,ABC,MetaheuristicEnsembleLearn,80.54148197174072,43.64169884224796
baboon.png,ABC,MetaheuristicEnsembleLearn,88.5779299736023,39.69280747527891
area.png,BBO,MetaheuristicEnsembleLearn,36.60834217071533,30.56355403296836
boat.png,BBO,MetaheuristicEnsembleLearn,37.51614022254944,54.374599977015656
